window_id,method,n_true_nodes,candidate_pool_size,mrr,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10
135,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
135,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
136,degree,1,121,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
136,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
136,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
137,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
137,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
137,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
137,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
138,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
138,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
138,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
138,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
139,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
139,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
139,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
139,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
140,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
140,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
140,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
140,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
141,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
141,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
